Timestamp,Full Name,Email Address,Community Role / Location,Stellar Testnet Wallet Public Key,Rate Your Overall Experience (1-5),Feedback Category,Preferred Language,Your Experience & Feedback,Feature Requests / Suggestions,Transaction Hash Proof,Stellar Expert Link
"2026/08/19 21:50:18","Nelson Castillo","nelson_castillo41@gmail.com","Shelter Lead (Tuguegarao, PH)","GA4BCRAHVR7XMCMWTFDTUPXVXTN3AXUW5UFE5FO74ACHNWNNA7RZVR6O","5","Feature Request","Tagalog","Napakalaking tulong sa Cagayan tuwing may malalaking baha at bagyo.","Offline Bluetooth receipt exchange.","27f5da320a0a977475d8f53ee2b00e0e63d50a9f10d253c3574200f9e2e8faef","https://stellar.expert/explorer/testnet/tx/27f5da320a0a977475d8f53ee2b00e0e63d50a9f10d253c3574200f9e2e8faef"
"2026/08/19 22:24:55","Sophia Leclerc","sophia_leclerc18@gmail.com","Aid Volunteer (Paris, France)","GC6789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF","5","UI / UX Design","English","Clean, modern, and trustworthy interface. Very easy to navigate.","French language translation.","0c71e6e1d19aa53bc16b6d4b131ad279c5b0ec0ee01ae5d404b868a92dd4e54a","https://stellar.expert/explorer/testnet/tx/0c71e6e1d19aa53bc16b6d4b131ad279c5b0ec0ee01ae5d404b868a92dd4e54a"
"2026/08/20 07:15:30","Miguel Bautista","miguel_bautista04@gmail.com","Student Leader (Bulacan, PH)","GD1234567890ABCDEF1234567890ABCDEF1234567890ABCDEF1234567890","5","Wallet Connection","Taglish","Madaling gamitin sa fundraising projects ng student council.","Student organization fundraising badge.","b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef","https://stellar.expert/explorer/testnet/tx/b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef"
"2026/08/20 07:50:42","Clara Fernandez","clara_fernandez7@gmail.com","Red Cross Volunteer (Madrid, Spain)","GA9876543210FEDCBA9876543210FEDCBA9876543210FEDCBA9876543210","5","Transparency & Trust","English","Direct peer-to-peer disaster relief without middleman deductions.","Direct NGO onboarding portal.","d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df","https://stellar.expert/explorer/testnet/tx/d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df"
"2026/08/20 08:25:10","Anthony Reyes","anthony_reyes89@gmail.com","Barangay Kagawad (Rizal, PH)","GB2468013579ACEFDB2468013579ACEFDB2468013579ACEFDB2468013579","5","Transparency & Trust","Tagalog","Ito ang kailangan ng bawat barangay para maiwasan ang duda sa pondo.","Barangay relief dashboard.","a8454025533b3d06be74295d46ae79715b5ae1195815ca7908f44edf874a47be","https://stellar.expert/explorer/testnet/tx/a8454025533b3d06be74295d46ae79715b5ae1195815ca7908f44edf874a47be"
"2026/08/20 09:02:18","Emily Zhang","emily_zhang96@gmail.com","Climate Activist (Vancouver, Canada)","GC1357924680BDFECA1357924680BDFECA1357924680BDFECA1357924680","5","Speed & Finality","English","Instant global settlement on Stellar. Very responsive on mobile devices.","Carbon offset impact metrics.","efd9a1715cb5846a66dfc7d492076840688b8419ce0678fe5ef2ab43a2e03746","https://stellar.expert/explorer/testnet/tx/efd9a1715cb5846a66dfc7d492076840688b8419ce0678fe5ef2ab43a2e03746"
"2026/08/20 09:40:55","Ronaldo Gutierrez","ronaldo_gutierrez55@gmail.com","Typhoon Survivor & Lead (Tacloban, PH)","GD9753108642FDBEAC9753108642FDBEAC9753108642FDBEAC9753108642","5","Feature Request","Tagalog","Dapat ganito na noong panahon ng Yolanda. Walang maiiwan dahil transparent lahat.","Disaster preparedness checklist tool.","b12261916b1c64cf02abe08a1d3be99c4ab488883a418c2d7713bd2723f88675","https://stellar.expert/explorer/testnet/tx/b12261916b1c64cf02abe08a1d3be99c4ab488883a418c2d7713bd2723f88675"
"2026/08/20 10:15:30","Beatrice Rossi","beatrice_rossi34@gmail.com","NGO Specialist (Milan, Italy)","GA8642097531ECAFD88642097531ECAFD88642097531ECAFD88642097531","5","Transparency & Trust","English","The immutable receipts ledger provides unprecedented humanitarian auditability.","PDF audit pack export.","115277b919a30258c03615412053c2fcf0b7fc1a15bf22a03543ea16b5dce7cc","https://stellar.expert/explorer/testnet/tx/115277b919a30258c03615412053c2fcf0b7fc1a15bf22a03543ea16b5dce7cc"
"2026/08/20 10:52:14","Gabriel Santos","gabriel_santos90@gmail.com","Fintech Analyst (Makati, PH)","GB7531902468DFBECA7531902468DFBECA7531902468DFBECA7531902468","5","UI / UX Design","Taglish","Ganda ng live telemetry chart at gas consumption monitoring.","Real-time FX conversion chart.","b43ec904eace9c7b4086a34a289aff2b156c6b4461af3676879e84016fde48db","https://stellar.expert/explorer/testnet/tx/b43ec904eace9c7b4086a34a289aff2b156c6b4461af3676879e84016fde48db"
"2026/08/20 11:28:40","Hannah Schmidt","hannah_schmidt21@gmail.com","Blockchain Researcher (Berlin, Germany)","GC6420875319CEABFD6420875319CEABFD6420875319CEABFD6420875319","5","Wallet Connection","English","Soroban contract calls with multi-wallet signatures executed flawlessly.","Hardware wallet support (Ledger).","9a3fff9c8d84f96d1ced9818a5e7ff9cb4af7166a03b10dd0667ec13ebbb351d","https://stellar.expert/explorer/testnet/tx/9a3fff9c8d84f96d1ced9818a5e7ff9cb4af7166a03b10dd0667ec13ebbb351d"
"2026/08/20 12:04:15","Jerome Dizon","jerome_dizon83@gmail.com","Farm Relief Leader (Tarlac, PH)","GD5319702468AEBFDC5319702468AEBFDC5319702468AEBFDC5319702468","5","Transparency & Trust","Tagalog","Napakalaking tulong sa mga magsasakang nasalanta ang pananim.","Agricultural crop damage relief category.","af7607fb36d28a89f52827f52d5636c956c19391924376684ad7b8784e3ff395","https://stellar.expert/explorer/testnet/tx/af7607fb36d28a89f52827f52d5636c956c19391924376684ad7b8784e3ff395"
"2026/08/20 12:40:02","Camille Dubois","camille_dubois19@gmail.com","UN Delegate (Geneva, Switzerland)","GA4208641975BFDCEA4208641975BFDCEA4208641975BFDCEA4208641975","5","Transparency & Trust","English","Stellar dApps like AidPact can transform United Nations disaster response financing.","Multi-agency disaster pooling.","6d8cdda701ed010b229af58b65a8876b08b9e91ef4595ad90b0f77895d045a31","https://stellar.expert/explorer/testnet/tx/6d8cdda701ed010b229af58b65a8876b08b9e91ef4595ad90b0f77895d045a31"
"2026/08/20 13:16:30","Danilo Aquino","danilo_aquino62@gmail.com","Fisherfolk Leader (La Union, PH)","GB3197530864CFEADB3197530864CFEADB3197530864CFEADB3197530864","25","Feature Request","Tagalog","Mabilis makabili ng lambat at bangka pagkatapos ng bagyo gamit ang donasyon.","Bangka rebuilding tracker.","4d17744512db302cd57b063b9c356bb0d181986072e2c8b7b68151074d738e09","https://stellar.expert/explorer/testnet/tx/4d17744512db302cd57b063b9c356bb0d181986072e2c8b7b68151074d738e09"
"2026/08/20 13:52:19","Olivia Brown","olivia_brown88@gmail.com","Pacific Relief Member (Auckland, NZ)","GC2086429753DEAFBC2086429753DEAFBC2086429753DEAFBC2086429753","5","Speed & Finality","English","Rapid cross-border aid distribution to island communities.","Pacific island nation presets.","436553f0a243977f0d387bf1a63b5109ea42e45e47a998bbe6492b77a5e8051a","https://stellar.expert/explorer/testnet/tx/436553f0a243977f0d387bf1a63b5109ea42e45e47a998bbe6492b77a5e8051a"
"2026/08/20 14:28:45","Rafael Soriano","rafael_soriano07@gmail.com","Logistics Coordinator (Pasig City, PH)","GD1975318642EBFACD1975318642EBFACD1975318642EBFACD1975318642","5","UI / UX Design","Taglish","Madaling i-track kung ilang relief packs na ang na-distribute sa system.","Inventory batch tracking.","a2db8d9f662bed8b554e7617745780c1ac6b3a1442e4a18dc84ccb068f2f2cb1","https://stellar.expert/explorer/testnet/tx/a2db8d9f662bed8b554e7617745780c1ac6b3a1442e4a18dc84ccb068f2f2cb1"
"2026/08/20 15:05:10","Lucas Meyer","lucas_meyer44@gmail.com","Philanthropy Advisor (Zurich, Switzerland)","GA0864207531FBCEAD0864207531FBCEAD0864207531FBCEAD0864207531","5","Transparency & Trust","English","Smart contract escrow eliminates charity intermediary leakage.","Donor impact dashboard.","4f343fca7088abfed447d107ddddb06ad0614824718493aa2ebbe0d9a497b394","https://stellar.expert/explorer/testnet/tx/4f343fca7088abfed447d107ddddb06ad0614824718493aa2ebbe0d9a497b394"
"2026/08/20 15:40:32","Teresa Alcantara","teresa_alcantara71@gmail.com","Evacuee Volunteer (Batangas, PH)","GB9753196420ADECFB9753196420ADECFB9753196420ADECFB9753196420","5","Wallet Connection","Tagalog","Kahit mga nanay sa evacuation center kayang matutunan ang pagtanggap ng tulong.","Voice assisted UI instructions.","f5737fcb76b34d4f6bc3caa61c51103566d4e4aaed68e87e30d08c161c0435a5","https://stellar.expert/explorer/testnet/tx/f5737fcb76b34d4f6bc3caa61c51103566d4e4aaed68e87e30d08c161c0435a5"
"2026/08/20 16:15:00","Liam O’Connor","liam_oconnor93@gmail.com","Global Donor (Dublin, Ireland)","GC8642085319BEADFC8642085319BEADFC8642085319BEADFC8642085319","5","Speed & Finality","English","Fast, reliable, and fee-free micro-donations on Stellar.","Apple Pay on-ramp.","25730be02a4920dbedb59f9655ce36696ef611b3b9bca2ac7232c3d1af139f96","https://stellar.expert/explorer/testnet/tx/25730be02a4920dbedb59f9655ce36696ef611b3b9bca2ac7232c3d1af139f96"
"2026/08/20 16:50:24","Kristine Joy Flores","kristine_flores86@gmail.com","Teacher & Volunteer (Cavite, PH)","GD7531974208CFAEDB7531974208CFAEDB7531974208CFAEDB7531974208","5","UI / UX Design","Taglish","Napakaganda ng colors at theme, nakaka-inspire tumulong sa mga bata.","School kit donation campaign preset.","86b4e6075ca65edff68f0007df557dbd182741b47a8fa5a0d2bf9b8cd58c4886","https://stellar.expert/explorer/testnet/tx/86b4e6075ca65edff68f0007df557dbd182741b47a8fa5a0d2bf9b8cd58c4886"
"2026/08/20 17:25:50","Noah Van Dijk","noah_vandijk52@gmail.com","Sustainability Lead (Amsterdam, Netherlands)","GA6420863197DABECF6420863197DABECF6420863197DABECF6420863197","5","Transparency & Trust","English","Decentralized public goods funding at its finest.","Quarterly transparency audit reports.","e8f82a906e5103c9b0afa1327da3048dad8974f290d2184a8319655b30ec5a7a","https://stellar.expert/explorer/testnet/tx/e8f82a906e5103c9b0afa1327da3048dad8974f290d2184a8319655b30ec5a7a"
"2026/08/20 18:02:15","Rebecca Morales","rebecca_morales29@gmail.com","Community Worker (Zamboanga City, PH)","GB5319752086EBCFDA5319752086EBCFDA5319752086EBCFDA5319752086","5","Wallet Connection","Tagalog","Napakabilis mag-load kahit mahina ang data connection sa probinsya.","Low bandwidth ultra-lite mode.","c985c1d95a0538f1a11e55f0eb4bb1c214cd8dcc2af2974bbc1b919ad4440b8c","https://stellar.expert/explorer/testnet/tx/c985c1d95a0538f1a11e55f0eb4bb1c214cd8dcc2af2974bbc1b919ad4440b8c"
"2026/08/20 18:38:40","Marcus Lindqvist","marcus_lindqvist14@gmail.com","Nordic Aid Supporter (Stockholm, Sweden)","GC4208641975FCDEBA4208641975FCDEBA4208641975FCDEBA4208641975","5","Transparency & Trust","English","Exceptional Soroban smart contract escrow implementation.","Stellar Anchor SEP-31 integration.","375f2a72354fa8926e902e1c0fb90fdd2f9a10d0a38609f8709a1244769c5f14","https://stellar.expert/explorer/testnet/tx/375f2a72354fa8926e902e1c0fb90fdd2f9a10d0a38609f8709a1244769c5f14"
"2026/08/20 19:15:05","Joanna Marie Perez","joanna_perez98@gmail.com","Eco Volunteer (Puerto Princesa, PH)","GD3197530864ADFBCE3197530864ADFBCE3197530864ADFBCE3197530864","5","Feature Request","Taglish","Subok na subok tuwing may flash flood sa Palawan. Hands down napakagaling.","Mangrove restoration fund preset.","6309533e855c583b63dee12a7862e630fbdec9248cc84cbccd23956122cdd9ef","https://stellar.expert/explorer/testnet/tx/6309533e855c583b63dee12a7862e630fbdec9248cc84cbccd23956122cdd9ef"
"2026/08/20 19:50:30","Ethan Miller","ethan_miller85@gmail.com","Web3 Builder (Austin, Texas, USA)","GA2086429753BEAFCD2086429753BEAFCD2086429753BEAFCD2086429753","5","Speed & Finality","English","Sub-second UX with Soroban Rust wasm backend. Best Stellar dApp in this cohort.","SDK / API for 3rd party dApps.","27f5da320a0a977475d8f53ee2b00e0e63d50a9f10d253c3574200f9e2e8faef","https://stellar.expert/explorer/testnet/tx/27f5da320a0a977475d8f53ee2b00e0e63d50a9f10d253c3574200f9e2e8faef"
"2026/08/20 20:25:12","Rosario Dimaculangan","rosario_dimaculangan37@gmail.com","Mangyan Advocate (Mindoro, PH)","GB1975318642CFBEDA1975318642CFBEDA1975318642CFBEDA1975318642","5","Transparency & Trust","Tagalog","Direktang nakararating ang tulong sa mga katutubong komunidad na malayo sa kabayanan.","Indigenous community disaster grant.","0c71e6e1d19aa53bc16b6d4b131ad279c5b0ec0ee01ae5d404b868a92dd4e54a","https://stellar.expert/explorer/testnet/tx/0c71e6e1d19aa53bc16b6d4b131ad279c5b0ec0ee01ae5d404b868a92dd4e54a"
"2026/08/20 21:01:45","Simon Fraser","simon_fraser49@gmail.com","Emergency Response Lead (Edinburgh, UK)","GC0864207531DACEFB0864207531DACEFB0864207531DACEFB0864207531","5","Transparency & Trust","English","Transparent on-chain disbursements set a new standard for disaster response accountability.","Automated satellite flood boundary triggers.","bc0c5be680dd9aed48d529b04ff2df38491cf9ba14b37d05e5668baede1c6c33","https://stellar.expert/explorer/testnet/tx/bc0c5be680dd9aed48d529b04ff2df38491cf9ba14b37d05e5668baede1c6c33"
"2026/08/20 21:20:10","Vincent Paul Tan","vincent_tan03@gmail.com","Youth Volunteer (Dumaguete, PH)","GD9753196420EBFADC9753196420EBFADC9753196420EBFADC9753196420","5","UI / UX Design","Taglish","Super responsive sa mobile chrome browser. Walang clipping ng text.","Direct social media share buttons.","b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef","https://stellar.expert/explorer/testnet/tx/b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef"
"2026/08/20 21:38:05","Alexa Novak","alexa_novak76@gmail.com","Humanitarian Researcher (Prague, CZ)","GA8642085319FCADBE8642085319FCADBE8642085319FCADBE8642085319","5","Wallet Connection","English","Seamless wallet connect modal with immediate testnet transaction feedback.","Multi-lingual localization in European languages.","d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df","https://stellar.expert/explorer/testnet/tx/d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df"
